created,text,,,,,,,,,,,,,,,,
12/6/2021 7:42,Philando Castile #BlackLivesMatter,,,,,,,,,,,,,,,,
12/6/2021 7:41,RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for theÉ?›,,,,,,,,,,,,,,,,
12/6/2021 7:41,RT @_webshareztv: @GainmutuallT Éùœã˜è @_webshareztv #realitybites #DaniloIgnacio #followus #Changingthenarrative  #blackbusiness #SupportBlackÉ?›,,,,,,,,,,,,,,,,
,RT @OneInAnARMY: ARMY,,,,,,,,,,,,,,,,
,You #MatchedAMillion–???,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
12/6/2021 7:41,"It's really amazing to see so many of you coming together to support #BlackLivesMatter. ThankÉ?›""",,,,,,,,,,,,,,,,
,RT @dolphinscheer: #BlackLivesMatter is more than a hashtag. ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
12/6/2021 7:23,"@SeattleDSAÉ?› https://t.co/K610lXyvoN""",,,,,,,,,,,,,,,,
12/6/2021 7:23,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that wÉ?›",,,,,,,,,,,,,,,,
,RT @LDSAgency: –??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
,@SeattleDSA ,,,,,,,,,,,,,,,,
,@seabikeblog   ,,,,,,,,,,,,,,,,
12/6/2021 7:23,"@BernieSandersÉ?›""",,,,,,,,,,,,,,,,
12/6/2021 7:23,RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for theÉ?›,,,,,,,,,,,,,,,,
12/6/2021 7:22,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that wÉ?›",,,,,,,,,,,,,,,,
12/6/2021 7:22,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that wÉ?›",,,,,,,,,,,,,,,,
,RT @LDSAgency: Socialist Alternative @SocialistAlt    –??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
12/6/2021 7:22,"@SeaÉ?›""",,,,,,,,,,,,,,,,
,RT @LDSAgency: –??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
,@SeattleDSA ,,,,,,,,,,,,,,,,
,@seabikeblog   ,,,,,,,,,,,,,,,,
12/6/2021 7:22,"@BernieSandersÉ?›""",,,,,,,,,,,,,,,,
,@SocialistAlt    –??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
12/6/2021 7:22,"@SeattleDSAÉ?› https://t.co/KwkQzbaz3s""",,,,,,,,,,,,,,,,
,RT @LDSAgency: –??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
,@SeattleDSA ,,,,,,,,,,,,,,,,
,@seabikeblog   ,,,,,,,,,,,,,,,,
12/6/2021 7:22,"@BernieSandersÉ?›""",,,,,,,,,,,,,,,,
,RT @LDSAgency: Seattle Times Attacks Democracy | Socialist Alternative –??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
12/6/2021 7:22," @ThÉ?›""",,,,,,,,,,,,,,,,
,RT @LDSAgency: –??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
,@SeattleDSA ,,,,,,,,,,,,,,,,
,@seabikeblog   ,,,,,,,,,,,,,,,,
12/6/2021 7:22,"@BernieSandersÉ?›""",,,,,,,,,,,,,,,,
,RT @LDSAgency: –??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
,@SeattleDSA ,,,,,,,,,,,,,,,,
,@seabikeblog   ,,,,,,,,,,,,,,,,
12/6/2021 7:22,"@BernieSandersÉ?›""",,,,,,,,,,,,,,,,
,RT @LDSAgency: –??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
,@SeattleDSA ,,,,,,,,,,,,,,,,
,@seabikeblog   ,,,,,,,,,,,,,,,,
12/6/2021 7:22,"@BernieSandersÉ?›""",,,,,,,,,,,,,,,,
12/6/2021 7:22,"just to be clear, when we say #BlackLivesMatter  we mean ALL #BlackLivesMatter which includes #women https://t.co/uHdh6ZDBTG",,,,,,,,,,,,,,,,
,RT @LDSAgency: Seattle Times Attacks Democracy | Socialist Alternative –??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
12/6/2021 7:21," @ThÉ?›""",,,,,,,,,,,,,,,,
